persistent_album_id;music_store_key;url;score;format;price
08D5DA3CCBF3ED3DD01A3DE1D69CCF6A;MEDIMOPS;https://medimops.de//pink-floyd-live-at-pompeii-us-import-audio-cd-M0B0001XDYBS.html;88;cd;59.49
EDB8656BDBC0BF5DD43F0ABA3A50F982;MEDIMOPS;https://medimops.de//pink-floyd-the-wall-audio-cd-M0B00004UPWW.html;82;cd;8.59
1657F1F40CE9A36DA050EAA5FD746876;MEDIMOPS;https://medimops.de//porcupine-tree-the-sky-moves-sideways-audio-cd-M0B0000SVWX6.html;92;cd;16.49
4140E7E5A29154D0D92AC617D1D0E394;MEDIMOPS;https://medimops.de//queen-news-of-the-world-audio-cd-M0B000026GME.html;90;cd;5.59
D43CF2B0CEF31C906B73123E56FE92E2;MEDIMOPS;https://medimops.de//queens-of-the-stone-age-queens-of-the-stone-age-audio-cd-M0B004LE10FU.html;92;cd;6.75
75856CB725189E5AC55F0717975F2FBF;MEDIMOPS;https://medimops.de//rammstein-rosenrot-audio-cd-M0B000BK8FH4.html;82;cd;5.55
72ED24EB2BDC9802C7273C00F45F5614;MEDIMOPS;https://medimops.de//rush-a-farewell-to-kings-audio-cd-M0B000001ESJ.html;90;cd;0
FF5F2506AD05748F0C3E60341B5D9462;MEDIMOPS;https://medimops.de//slayer-world-painted-blood-audio-cd-M0B002OEBMN4.html;90;cd;12.49
D9B60EE57E267EEF4816B633E9E604AA;MEDIMOPS;https://medimops.de//spinvis-tot-ziens-justine-keller-audio-cd-M0B006T2HHRM.html;57;cd;13.97
6B4E0AF7F072517ABF9EB876D6D96F3B;MEDIMOPS;https://medimops.de//sunny-day-real-estate-diary-audio-cd-M0B0000035GC.html;76;cd;16.79
95677F144A6D1D9C5BF1120DD3F3FCD6;MEDIMOPS;https://medimops.de//anna-ternheim-separation-road-audio-cd-M0B000LV6ATI.html;88;cd;5.49
C589840A65DD1EEDF6B65AA61C71E148;MEDIMOPS;https://medimops.de//type-o-negative-dead-again-audio-cd-M0B000ION6YA.html;84;cd;12.89
2FC35340509DA15755BA4E9CE0871FA1;MEDIMOPS;https://medimops.de//waxahatchee-ivy-tripp-audio-cd-M0B00SGI0GCK.html;83;cd;0
58C14DDB33A8627A37416F470F7AC241;MEDIMOPS;https://medimops.de//we-were-promised-jetpacks-these-four-walls-audio-cd-M0B00133FBCK.html;89;cd;0
971AA44D8A214FC4D36F487D28E142AF;MEDIMOPS;https://medimops.de//steven-wilson-grace-for-drowning-audio-cd-M0B0058WFO06.html;90;cd;8.79
669EB50DB5504CD5FB71D724DCC8DC0D;MEDIMOPS;https://medimops.de//steven-wilson-insurgentes-bonus-dvd-audio-cd-M0B003NXCSEM.html;85;cd;21.97
F553A51F3CAA7AB67783212AA01A62E9;MEDIMOPS;https://medimops.de//steven-wilson-the-harmony-codex-std-cd-audio-cd-M0B0CCC8VMHK.html;90;cd;0
9789DE0962362AC0413C922C04BF4DCA;MEDIMOPS;https://medimops.de//the-xx-xx-audio-cd-M0B003Y5W40M.html;65;cd;3.45
