tiermaker_id;album_persistent_id;order;tier
2;5D6B3DBC40B2178B311C9B0FAADA6F8A;12;pool
2;41E6C2E6E39ABC2577EEFFE5CB23A4B9;13;pool
2;5523B7E1AB15C8CDE6A7FFD136EDCD40;14;pool
2;614898DEABD8288320C454B2A9A03F94;0;S
2;14A1E72299FEFA4534AFE7489AE1B6C4;1;S
2;AE41FA50E1697C3DD39DF746C0E12140;2;S
2;0D63F61C25DC72E7207A9500D540B28D;3;S
2;D05937B4E851EE252E3954FD9F12D748;0;A
2;5A50822FC268C34B11F5399B5A19AA43;1;A
2;BC336101B616B62B7F103F2DDA08FB60;2;A
3;F71BE1F4A9DA7E45B201AA4B769E467B;0;pool
3;0CFD863ACE36D6202F75C851C0A9963C;1;pool
3;F86C7E1FE56CD79A401CD37B800ADA08;2;pool
3;C749847349C3A21FD7528F9A9CF9ECDC;3;pool
3;748D70986658DDFBBEBFC1807F521F45;4;pool
3;5E0F331DBF2EFED7DDE6AF248C6A0513;5;pool
3;34C394740AB70DA2D0D10C0535F75D4C;6;pool
3;34379DAA74E4EF2B4C8B8C8E764BA219;7;pool
3;C4768184ABCE6983E3E87661883B1CA3;8;pool
3;03FA07F78DFBF9DAB78363CBBD431F90;9;pool
3;5C1DC6D6D00289FB7AF5A73EB6312B7E;0;S
3;9AA4E40C5F8D55BBF646E55A2A373C40;1;S
3;17120F0088C37ED9B74FFE25F2B3189E;0;A
3;BC139FFAC067945F998FAC148C53A443;1;A
3;4252330B9E80B77AC389CAFB7FAF129F;0;B
3;20AA2174DF75D06841ED63B1590DE88A;1;B
3;A977040E053EC412C291022214F9ED5B;2;B
3;B7AA4BB1DAF28D3D69029E625CD37ED5;3;B
3;9B4AAED53D5EE329DA5132F11ECB1008;0;C
3;56205E77FE9F3B1CFECA3B2909205A6C;1;C
3;CEF29C2671E173F1CB284B9EB2637554;0;D
3;7F1746B999AC379111FD7E91C490A7DE;0;E
4;B4FA1CD1A752A79C2CDBA08AC8444F11;0;pool
4;758F7561BFCAA16783163B8C5F5DE12B;1;pool
4;DC00E190126EFBF623089620FE76B8E1;2;pool
4;7864275BBBC37675119F520126FF1031;3;pool
4;E209C8F92DA00792B357A4286B110BAD;4;pool
4;DAC75194D5BCC6BB9512EA1DB5AD4FFE;5;pool
4;EADCD224F63A0645D1AE5C6A8112433E;6;pool
4;EC407AD9213BB0EF0CD4E10CCE0CEF6C;7;pool
4;3DA369A8014C6EC430A07D07950DEF56;8;pool
4;F774D4131FE26B63FC5E6841218EACDD;9;pool
4;4FC55B1348029883E54D92949AAA2F02;10;pool
4;A8492668D3966C8C33A7E8BBBF2AFA1E;0;S
4;6191264A295AE804CEA1BA5B5604DF41;1;S
4;9CF2D612D3F796FB0F9067335DA9C82B;0;A
