persistent_id;spotify_api_track_custom_id;artist;album;name
F391DA096A20BF2B;0eLkmcFkcgZkBhDoU0PHki;Anouk;"Lost Tracks";"In The Sand"
821A801399033381;3usbC6wzwCODeOeu5z2KBh;Anouk;"Lost Tracks";"R.U. Kiddin' Me"
D5483076546818D4;3lIZxfZeii2mgcw5YvqzEg;Anouk;"Live & Acoustic";"Alright - Live & Acoustic"
3214E02A4DE4E5F2;5aYFHcmjFYMVlg9Gzcwznj;Anouk;"Live & Acoustic";"Lost - Live & Acoustic"
A526CB2E063BC669;13cce1Zjrrn0Yf5hutLjjz;Anouk;"Live & Acoustic";"Falling Sun - Live & Acoustic"
D9BF862AD381FB63;0bhPoHu6YzsQruOhTVY67W;Anouk;"Live & Acoustic";"Girl - Live & Acoustic"
0D47242818EF68CA;4B5YjIEsmFZZBmMvcKuund;Anouk;"Live & Acoustic";"Nobody's Wife - Live & Acoustic"
27289DF4ED488075;3vySGchqQAP9Ai0qVJ6tV8;Anouk;"Anouk Is Alive";Love
AD587CE324B3F2AB;6AMkriayS0DurTTcZaegIC;Anouk;"Anouk Is Alive";"Only You"
A31C38078217A6A6;1Ai9AL72jeN8gcoCCvewkK;Anouk;"Anouk Is Alive";"More Than You Deserve"
CAD0FD78C0A2388F;7rwhI4gU9Yy5835EcPHIpP;Anouk;"Anouk Is Alive";Don't
FE887678EE3978B3;5yJU8vfyhnj1n2bH6O0S4m;Anouk;"Anouk Is Alive";"R U Kiddin' Me"
DAA5B69D4DF1E61D;763bFQvhcMic0txzmJTm6Y;Anouk;"Anouk Is Alive";"Falling Sun"
A93ECA5E9075213A;09SBfIEWAvQcQtAzuhL3p5;Anouk;"Anouk Is Alive";Sacrifice
BF9114422042BCE4;48onOqNKldoRbnnGkBdvSg;Anouk;"Anouk Is Alive";"Flower Duet"
3E1F5CA8079896A8;6dgBpKZ81CMNEpFqFPSeDV;Anouk;"Anouk Is Alive";"Who Cares"
3D30B0201BCF8204;5VbJkb3WICVC5tE7HqPult;Anouk;"Anouk Is Alive";"Too Long"
8FCE5C296213904E;4VdtWYTR8zhndn1I2xdgpY;Anouk;"Anouk Is Alive";"No Time To Waste"
BE7221DBD94A4EE3;3Cs66NWPoSZeNZaU3TT2UG;Anouk;"Anouk Is Alive";"The Dark"
9B930390081FD2CF;2CeVQlQ8cleoh7VeEUSgjy;Anouk;"Anouk Is Alive";Everything
A3DB44848BAA0404;25pPwNHf0aFP9OMKrnlhI1;Anouk;"Anouk Is Alive";Hail
9A8C0F9F59B8BE1A;1p9wIpFzF1L6f6J7zkBqT9;Anouk;"Anouk Is Alive";Searching
8CFF872D0C0CB9C3;3HkvyBPWBhSl9zrDQcfOep;Anouk;"Anouk Is Alive";Jerusalem
534ED243CDD3A5CD;6IWxk3633dE0PoxBH8pz71;Anouk;"Anouk Is Alive";Michel
BEE97E3B91B0CC3F;4OfPUBKQsp16cSDUi22KvC;Anouk;"Lost Tracks";"Lovin' Whiskey - Live From Holland"
7557CE5F9CD93AC8;2Vzrmtkh6TyNMPLRyNSv5j;Anouk;"Anouk Is Alive";Lost
9821FECEC8DFF4FB;19IGosepWfludGAdvBHiQx;Anouk;"Sad Songs";"For Bitter Or Worse"
88DA3EB5CAADD530;3gQ19X8SWk7fNAt7ZRCoyI;Anouk;"To Get Her Together";"To Get Her Together"
ABE2188D81E85326;5xSkHimRaHHM6aDgnHlUpm;Anouk;"Sad Singalong Songs";Kill
BA11B22708C9C891;7gX8GB0EA0urB0wtkzkZAY;"Nicky Romero";"Feet On The Ground";"Feet On The Ground"
8A50CD2A3B63036D;2IV4PydgwJfWBy4y5pvGK4;Anthrax;"Live: The Island Years";"(Efilnikufesin) N.F.L. - Live"
6DD3B6D37F402559;6ObEQQYovTDYXJpeCe6cFW;Anthrax;"Live: The Island Years";"Antisocial - Live"
6B08AABB888A2235;4QVrpNJ1VdylRpzaDHVjYp;ICE-T;"Live: The Island Years";"Bring The Noise - Live"
