persistent_album_id;release_id;artist;title
492F8CA0E7878FFF3EADC9F9FD9531D6;13604230;"Songs: Ohia";"The Lioness"
E3F1A3461F5225212665571B2DBB1F4F;3056941;"Jon Spencer Blues Explosion";ACME
C18426843E025D189E7D74CC8C1CE286;8273482;"Mike Oldfield";"The Orchestral Tubular Bells"
1A2B808DF0066ACDBBFF72C79D31261C;390021;"The Cult";"Pure Cult"
D232B102198437DA70DEE235736D5D22;3820658;"The Tea Party";Tangents
F37618E494694745850AE9329C16ADEA;827529;"Ryan Adams";"Jacksonville City Nights"
6FEFE0A2F581D949546EE64D88339296;1811711;"Ryan Adams";Cardinology
927B4ABD1CA30875FF127F2CE95D6F17;5961122;"Various Artists";"Kubrick Collection"
9CEC94D71AA0DAAB56055E9068A73971;399586;"The Gathering";"Sleepy Buildings"
D00054B2CAFED86582A98C6C44FD1819;2624579;"Various Artists";"Kink-FM And Watt Present: Alle 17 Goed"
EE83462694F9C3B935AFE6D053423B66;16037999;"Various Artists";"Smash Hits The 80s"
A064BAF0FBFC4F862F7DB1B982529AD8;37284;"Various Artists";"For The Masses"
858DCABBBD901FD809FF9AB6CDAC040D;13226872;"Various Artists";"Music Of The Millennium"
12FABC5F9C553A970B11240E27AF4146;7286904;"Various Artists";"Nativity In Black - A Tribute To Black Sabbath"
1AE49F7B2918878CD36AC8DCCB0B7016;835578;"Various Artists";"A Means To An End (The Music Of Joy Division)"
8C58A1C98237D6A3D2EB51E6861C7D8B;skipped;"The Smiths";"Hand In Glove"
D54A45311374121D329FCA92C38C3465;skipped;"The Smiths";"Reel Around The Fountain"
BB0A4BB1458D72646E6DED5FB45489C3;skipped;"The Smiths";"This Charming Man"
